Episode,Total_Reward
138,-304.48962740136096
139,-237.01060287790165
140,-304.77592911429065
141,-258.82737338628954
142,-206.52938079155916
143,-188.74354339199678
144,-322.93081968497233
145,-295.09307574057374
146,-308.5379741012556
147,-345.7518788074209
148,-262.02009555300134
149,-215.05860463666687
150,-218.01858016033083
151,-246.83422911559103
152,-242.10241173454196
153,-310.8735418549122
154,-281.8214572701776
155,-149.70785201700176
156,-254.06291496597953
157,-179.77913821180672
158,-212.618875729806
159,-250.4761021877844
160,-239.43841313992098
161,-227.6722318918063
162,-284.47657842425247
163,-256.93010481334056
164,-259.7202129402471
165,-214.83187013950942
166,-240.50747976354444
167,-385.2741619888141
168,-245.13686167904294
169,-318.0554932139131
170,-179.84402517587893
171,-216.42456584175505
172,-286.9629793111041
173,-274.534696868874
174,-304.7451216603343
175,-357.9691445488091
176,-300.103978587708
177,-320.3963014560382
178,-324.1149623490138
179,-161.9958644041182
180,-359.93641688655595
181,-231.37456017244747
182,-244.0254782881565
183,-169.32319105615204
184,-220.33374436100758
185,-299.16934838059166
186,-238.68924812346637
187,-169.6978861960079
188,-194.3422794159817
189,-183.67577530119814
190,-345.09194588641907
191,-125.70421210891763
192,-197.79177120341856
193,-192.07971917106855
194,-200.78605986485235
195,-209.43425283505644
196,-238.37464872529006
197,-285.72691790007286
198,-172.5492663431019
199,-212.4454847919562
200,-269.7736789461856
201,-232.99297327359739
202,-222.99715878535366
203,-278.10868955960507
204,-323.7499253813734
205,-150.3025559864289
206,-249.3235036646308
207,-260.74533813170626
208,-284.4864672135679
209,-251.7189221845934
210,-340.8976036052287
211,-304.85482771480406
212,-162.51684465016908
213,-255.69520861068415
214,-313.3846335022361
215,-307.42972016190413
216,-213.03494499479368
217,-133.0543818303904
218,-244.70520803112063
219,-246.05782294897392
220,-262.3026006198129
221,-135.5582337865489
222,-302.6305875653451
223,-229.31187269778323
224,-194.2819525587309
225,-169.67344583882024
226,-346.3590496546092
227,-237.92912011842952
228,-209.48807069269833
229,-161.82972703546625
230,-342.1927263223967
231,-257.6590548570497
232,-310.93988951551376
233,-335.62929029615066
234,-390.21429670998907
235,-234.1873845332941
236,-230.03583996492785
237,-223.51176335999992
238,-326.76490126321
239,-267.99494560442287
240,-196.14917556261184
241,-167.03478510264296
242,-128.6234336839185
243,-291.95198645386193
244,-216.84854374516465
245,-181.32245433666995
246,-193.86941019353554
247,-224.7370394820153
248,-442.517991183306
249,-201.3215727960037
250,-308.15893214821267
251,-230.7028022845577
252,-171.260559744211
253,-270.67641241631236
254,-264.4489307279117
255,-217.93243783440272
256,-260.91427870586614
257,-297.6026609714736
258,-172.90751389717633
259,-237.26056055395586
260,-187.18733355579622
261,-209.46758566362348
262,-246.1539922809533
263,-335.13154682062554
264,-267.4888961448215
265,-332.17693048998603
266,-160.4080069703784
267,-91.2414224424798
268,-178.78772856833615
269,-257.8030949383704
270,-266.6933699090216
271,-232.6971881750329
272,-154.7558454169512
273,-209.42106229871598
274,-260.9804659806342
275,-262.56157106559175
276,-262.4126919371149
277,-267.73206383229143
278,-426.325622210391
279,-160.85539107746968
280,-211.60155605648632
281,-157.37176944598764
282,-215.9133534229509
283,-197.84679526973912
284,-139.00583164860728
285,-211.70158828299827
286,-180.30513147464592
287,-183.26673864380166
288,-221.40835923591496
289,-236.05960769639694
290,-219.49818225454771
291,-237.25361915468025
292,-265.12991184979074
293,-299.73287763617554
294,-330.1287102946924
295,-162.40452629582458
296,-339.6682004141345
297,-145.18415818638886
298,-313.0277982072336
299,-220.15205232897853
300,-369.1556104358108
301,-264.7008342422221
302,-267.8558408047809
303,-97.78801126420858
304,-219.98745275824086
305,-216.42979250800792
306,-196.9512936525555
307,-211.02145872162305
308,-164.4681400128311
309,-325.26393247952535
310,-188.63022208595282
311,-171.853509039953
312,-361.3188655497093
313,-240.55580075119164
314,-223.96241653610912
315,-107.54873044024143
316,-115.27068812359681
317,-140.5596440162086
318,-257.9101712972315
319,-205.5925425088521
320,-310.34286494578794
321,-309.98983514149114
322,-159.78581177035358
323,-134.06970672282927
324,-157.53681548971474
325,-216.5421682818298
326,-201.2233485464105
327,-237.9065224850619
328,-175.42098135106662
329,-146.79057937617375
330,-196.09220344919476
331,-225.6567873417115
332,-248.35510001283524
333,-202.30521251361017
334,-333.27854058702997
335,-205.3932289804422
336,-196.53165463423613
337,-256.38549437186373
338,-208.87300185220943
339,-225.74304632780613
340,-150.61339732300993
341,-110.34484723813748
342,-194.96821552922503
343,-213.38093918389364
344,-227.6752934344819
345,-96.38396672037241
346,-173.65533194226924
347,-202.68443902843632
348,-253.38190231276937
349,-220.35561677421606
350,-238.48783509293926
351,-171.94978129272388
352,-129.43918655065073
353,-139.33743455016995
354,-201.164426854007
355,-215.89431734310722
356,-289.6172104232371
357,-164.87051565086475
358,-233.30946653539564
359,-236.11627019768278
360,-143.66536681481645
361,-162.38323756926587
362,-200.6811033991572
363,-205.5167484543956
364,-130.97711112503768
365,-208.8088463835267
366,-201.7591523017212
367,-133.8528870928334
368,-251.78039028906431
369,-218.0625374643231
370,-144.28578706400492
371,-134.95958437472552
372,-107.17340156985237
373,-140.84088943150454
374,-168.4137288918936
375,-257.23327366424246
376,-285.2553840835692
377,-170.84680825537416
378,-231.12749061510212
379,-295.6446944331622
380,-112.70941941104257
381,-232.7508809077881
382,-150.41973041838742
383,-162.18064738556336
384,-141.76570856181655
385,-146.12937488201857
386,-171.41387471869348
387,-177.70335024361336
388,-223.52091758077734
389,-120.26087197882846
390,-202.93934140762724
391,-121.85345502724127
392,-162.96948455154623
393,-237.5481138411493
394,-146.81191618098418
395,-155.6076436270256
396,-196.6392843018539
397,-114.5461404767677
398,-430.44315396183225
399,-142.718090149273
400,-172.62967009719324
401,-134.55045439493358
402,-204.4068343816072
403,-222.37263091929577
404,-238.55883292594888
405,-235.48203108454982
406,-170.6270645033385
407,-111.1740151950786
408,-172.30149122649198
409,-165.35630915968272
410,-140.22166911575883
411,-202.2940897533793
412,-226.65002004449303
413,-155.53290817007496
414,-160.1288541569614
415,-217.97672361207606
416,-136.11314356886416
417,-112.53219629487262
418,-199.84895304449444
419,-233.001601752104
420,-222.86925692251543
421,-206.44880581656065
422,-158.675416403918
423,-142.4972687557577
424,-138.44051913765435
425,-156.77223358498838
426,-154.39389212947918
427,-150.92935449367928
428,-478.2379332993064
429,-118.57503635522738
430,-173.5291612007461
431,-144.5595987472169
432,-233.90668005634933
433,-181.76873967331318
434,-121.32319425061624
435,-102.52387658125785
436,-140.67038343863305
437,-216.020018176872
438,-134.14160196880349
439,-182.36754289016517
440,-165.984773189152
441,-106.03689518040458
442,-139.51478729749144
443,-116.97129817926061
444,-166.57961802444044
445,-150.92112737777626
446,-157.84977164970059
447,-94.84832315095662
448,-156.51695757795247
449,-127.89707193055258
450,-163.99802886481126
451,-156.20087057836542
452,-167.0335015360841
453,-137.60698046269434
454,-113.52365550772063
455,-223.31224536602238
456,-150.378652797191
457,-143.2717099743211
458,-152.06451893881615
459,-171.9826584486067
460,-222.88986533209578
461,-85.91988857495441
462,-205.4467942955435
463,-171.0051650046414
464,-150.62368507442477
465,-151.3900164076154
466,-171.99035379449802
467,-207.14596952461585
468,-152.18831217823222
469,-177.38561179792657
470,-139.8253293316201
471,-132.93106836459972
472,-173.96468504535028
473,-122.81882474821649
474,-118.45243335866847
475,-148.57081608332464
476,-222.28785799597603
477,-161.49901538953358
478,-130.75871540177468
479,-116.41623769169632
480,-151.58280442811034
481,-102.2705091339025
482,-145.6660843816767
483,-132.88525877388832
484,-91.66794569136601
485,-138.33444754387926
486,-160.55518174003595
487,-142.28313099257025
488,-168.75780798462577
489,-121.74064063107302
490,-142.32233141556628
491,-121.99573891082242
492,-279.71395575974714
493,-230.78342790044198
494,-237.09645164786343
495,-111.44814434060285
496,-144.75181889475442
497,-180.4708615018036
498,-91.39311532995757
499,-127.51874349848305
